EmployeeID,Age,Department,SatisfactionScore,LastEvaluationScore,NumProjects,AvgMonthlyHours,YearsAtCompany,Attrition
247966,41,finance,0.46,0.83,5,200,6,1
514915,41,it,0.99,0.43,5,200,6,1
162920,41,hr,0.13,0.39,3,200,9,1
69843,32,it,0.01,0.25,3,173,9,1
636543,28,finance,0.3,0.18,5,200,10,1
670458,41,operations,0.13,0.35,5,200,6,1
643487,52,finance,0.29,0.13,6,154,2,1
674458,41,unknown,0.89,0.2,5,231,10,0
869738,41,hr,0.28,0.59,6,200,7,0
667671,41,finance,0.64,0.88,5,200,6,0
196820,32,hr,0.15,0.02,5,295,6,0
567705,41,it,0.02,0.92,5,169,7,0
969596,41,operations,0.94,0.04,5,245,6,0
679046,41,finance,0.19,0.6,4,200,6,1
641919,41,it,0.55,0.53,5,189,5,1
787791,41,finance,0.3,0.74,4,200,6,0
265124,41,unknown,0.13,0.61,5,200,6,0
623729,42,unknown,0.17,0.22,7,200,10,1
170955,41,unknown,0.18,0.92,5,200,6,0
587377,26,it,0.54,0.37,7,200,10,1
186365,41,finance,0.45,0.83,6,208,6,0
389233,24,finance,0.06,0.36,5,200,6,0
733453,49,sales,0.23,0.75,5,220,3,1
192928,41,finance,0.78,0.69,3,216,9,1
43811,46,finance,0.55,0.25,5,200,6,0
679635,37,it,0.27,0.27,5,200,9,0
261903,41,hr,0.33,0.15,5,202,6,0
782185,41,operations,0.79,0.16,5,179,6,1
326984,50,operations,0.53,0.22,6,200,6,0
947635,29,hr,0.88,0.24,3,278,5,1
355406,41,finance,0.31,0.59,5,161,3,0
760690,41,sales,0.69,0.9,2,200,8,0
673945,41,sales,0.7,0.18,3,200,6,0
233420,60,hr,0.57,0.99,5,200,8,1
975515,60,operations,0.54,0.47,7,172,7,0
662048,41,finance,0.99,0.6,5,160,6,0
774802,41,finance,0.16,0.23,5,200,7,0
284643,41,operations,0.85,0.59,5,200,6,0
820727,41,finance,0.03,0.27,2,263,6,1
177165,41,hr,0.29,0.56,2,288,10,1
665916,26,sales,0.19,0.01,5,217,6,1
835103,41,sales,0.61,0.67,5,200,8,1
797455,50,it,0.64,0.68,5,200,9,1
538374,41,finance,0.87,0.92,2,205,8,0
7277,41,hr,0.09,0.96,5,163,6,0
109949,41,unknown,0.54,0.26,5,200,6,0
177399,56,unknown,0.83,0.91,3,200,6,1
521798,43,hr,0.03,0.31,5,285,6,0
254394,41,hr,0.17,0.42,5,200,9,1
216404,60,finance,0.97,0.64,5,200,6,0
840383,41,hr,0.16,0.91,5,200,1,0
82108,41,finance,0.41,0.35,6,200,6,1
606536,40,finance,0.52,0.98,5,187,5,1
36673,41,hr,0.45,0.98,5,200,6,0
619012,41,operations,0.03,0.91,6,200,8,0
106436,41,finance,0.71,0.93,7,200,6,0
490513,38,finance,0.92,0.13,5,200,1,0
60743,40,hr,0.89,0.6,3,271,5,0
987659,41,finance,0.25,0.8,5,173,6,0
687673,48,finance,0.22,0.78,5,166,6,1
904059,41,operations,0.06,0.34,5,200,8,0
134766,32,hr,0.02,0.55,2,200,5,0
274181,41,hr,0.28,0.45,4,254,9,0
441926,41,finance,0.65,0.21,5,266,3,0
190184,36,finance,0.77,0.44,5,200,6,1
512913,41,finance,0.01,0.69,5,222,8,0
301653,41,it,0.47,0.22,5,200,2,0
957266,55,operations,0.44,0.69,5,200,1,0
818678,38,unknown,0.18,0.7,4,200,4,0
936398,41,finance,0.84,0.82,7,200,7,0
380695,41,hr,0.98,0.67,5,180,6,0
551046,41,operations,0.8,0.93,5,200,2,0
541204,41,hr,0.15,0.06,4,192,6,0
449242,48,finance,0.57,0.12,5,200,5,1
792674,41,unknown,0.23,0.44,5,174,6,0
978063,41,sales,0.69,0.79,5,200,6,0
419368,41,hr,0.45,0.22,4,171,6,0
647029,41,unknown,0.24,0.99,5,200,7,1
453969,22,hr,0.33,0.05,5,298,10,1
182979,41,hr,0.41,0.91,4,166,6,0
956565,48,hr,0.48,0.25,2,200,6,1
803961,25,unknown,0.78,0.58,2,200,6,0
2505,33,operations,0.51,0.3,5,200,6,0
309144,56,finance,0.24,0.22,3,200,3,0
64730,41,finance,0.61,0.23,6,200,1,1
187699,50,sales,0.62,0.72,5,200,6,0
525149,42,unknown,0.49,0.98,5,200,2,0
19889,41,hr,0.71,0.13,2,190,6,0
806215,22,finance,0.23,0.47,7,273,2,1
342819,55,unknown,0.83,0.48,5,295,6,0
622369,41,finance,0.65,0.68,5,200,6,1
136379,41,sales,0.7,0.98,5,257,6,0
49505,39,hr,0.07,0.02,5,235,6,0
219981,41,finance,0.98,0.86,6,295,6,1
802379,38,operations,0.56,0.9,5,200,6,0
564438,46,operations,0.15,0.71,6,200,6,1
511108,41,unknown,0.44,0.58,5,175,1,0
947105,60,sales,0.5,0.53,5,166,6,0
643196,45,unknown,0.54,0.09,2,165,1,1
939225,25,operations,0.82,0.87,5,200,6,0
121658,41,hr,0.84,0.35,5,241,6,0
413495,46,unknown,1.0,0.44,5,200,3,0
926520,41,hr,0.46,0.73,5,200,4,1
816514,41,sales,0.15,0.95,5,282,6,1
253678,41,finance,0.88,0.2,5,200,6,0
809216,55,finance,0.06,0.23,5,200,8,0
702418,38,unknown,0.81,0.2,7,200,2,0
578595,41,operations,0.04,0.13,5,200,2,1
302822,24,unknown,0.48,0.96,6,164,2,0
730682,41,finance,0.04,0.23,6,155,9,0
337669,54,hr,0.13,0.32,7,197,6,1
73882,33,finance,0.95,0.07,7,200,6,0
48011,50,hr,0.87,0.19,5,200,4,0
640877,41,hr,0.94,0.8,5,200,6,1
620643,60,unknown,0.34,0.54,3,251,6,0
685976,41,finance,0.54,0.15,7,200,6,1
288776,41,finance,0.9,0.66,5,182,10,1
802156,34,hr,0.15,0.76,5,263,6,0
714444,41,it,0.99,0.68,5,200,6,1
372846,41,finance,0.98,0.17,7,200,6,1
272473,41,hr,0.92,0.2,5,200,6,0
587447,41,sales,0.91,0.95,5,200,6,0
189672,41,finance,0.28,0.06,5,200,6,0
528288,41,it,0.14,0.38,6,200,6,0
320056,41,finance,0.22,0.07,5,200,6,0
610667,41,hr,0.81,0.89,6,200,5,0
124517,41,unknown,0.25,0.17,3,245,9,0
396493,37,it,0.74,0.1,4,224,3,0
55087,41,it,0.35,0.04,5,251,6,1
538369,54,operations,0.47,0.63,5,200,5,0
716413,41,sales,0.93,0.02,7,200,6,0
372675,41,sales,0.29,0.02,6,166,3,0
876368,41,operations,0.2,0.94,5,200,6,0
675128,25,hr,0.85,0.03,5,200,9,0
644348,41,sales,0.86,0.4,7,200,6,1
747676,46,operations,0.96,0.33,5,200,6,0
46623,22,it,0.45,0.46,5,253,5,0
900753,41,unknown,0.59,0.57,2,200,5,1
719660,41,hr,0.05,0.83,5,200,1,0
710357,40,unknown,0.81,0.91,5,224,8,0
923722,45,hr,0.25,0.23,5,219,6,0
759142,45,hr,0.56,0.87,5,232,1,0
530997,51,hr,0.81,0.96,5,200,6,0
756544,41,unknown,0.18,0.93,5,200,6,0
44429,41,sales,0.4,0.33,2,200,6,1
182780,49,it,0.08,0.02,5,200,6,1
753748,40,unknown,0.0,0.88,5,270,7,0
4245,41,hr,0.95,0.37,5,200,6,0
742602,27,finance,0.33,0.75,7,200,6,0
92404,41,operations,0.92,0.75,2,200,1,0
590863,48,finance,0.26,0.27,5,276,6,0
469322,37,hr,0.08,0.09,2,200,3,1
108172,37,finance,0.91,0.22,5,178,6,0
428840,41,hr,0.09,0.74,7,200,6,0
977843,54,unknown,0.26,0.27,2,200,9,0
687727,41,finance,0.15,0.29,4,200,2,0
241862,41,hr,0.54,0.48,5,219,6,1
552440,52,it,0.02,0.42,5,200,3,1
354840,41,unknown,0.18,0.71,5,200,6,0
752548,41,hr,0.84,0.76,5,200,6,1
706898,41,finance,0.86,0.25,6,200,10,1
816996,41,sales,0.22,0.72,5,200,4,0
43453,41,finance,0.57,0.53,5,200,4,1
60229,58,hr,0.3,0.67,3,246,6,1
451072,58,it,0.45,0.84,5,200,6,0
641179,41,hr,0.18,0.05,5,200,3,0
723307,41,hr,0.77,0.76,5,200,6,0
815000,46,hr,0.37,0.1,5,200,8,0
361025,28,finance,0.06,0.85,5,286,6,1
121078,41,hr,0.74,0.35,5,200,4,1
544360,41,unknown,0.48,0.68,5,175,5,0
773434,41,unknown,0.14,0.32,2,217,8,1
98628,31,finance,0.68,0.62,5,200,10,1
899434,41,hr,0.53,0.45,5,200,4,0
907329,41,operations,0.15,0.54,4,200,2,1
463196,40,unknown,0.73,0.55,5,200,7,0
759885,47,unknown,0.63,0.95,6,272,6,0
368965,41,finance,0.74,0.01,5,224,6,0
319888,41,finance,0.16,0.32,5,200,6,1
332886,55,finance,0.28,0.79,5,200,10,1
487681,41,sales,0.81,0.31,6,216,10,0
589704,23,finance,0.43,0.69,7,200,3,0
649801,54,hr,0.42,0.45,4,200,1,1
51950,41,hr,0.49,0.99,5,249,6,1
554729,41,hr,0.26,0.18,5,200,6,1
201037,27,operations,0.0,0.93,5,200,5,1
699770,48,hr,0.18,0.84,5,200,6,1
932933,41,it,0.94,0.13,7,291,6,0
571494,52,sales,0.03,0.6,2,200,6,1
953426,58,finance,0.85,0.16,6,298,6,0
136402,41,unknown,0.42,0.11,5,293,10,1
584088,41,unknown,0.45,0.93,2,286,7,1
497036,41,sales,0.49,0.98,6,213,6,0
674111,41,hr,0.3,0.04,3,200,3,0
796264,41,hr,0.88,0.03,3,200,6,1
370284,41,operations,0.68,0.19,4,200,6,1
7047,41,operations,0.23,0.37,5,200,6,1
252753,41,operations,0.32,0.37,5,200,6,0
249242,41,it,0.49,0.8,5,200,10,0
708972,41,operations,0.64,0.84,5,200,8,1
571139,41,finance,0.77,0.19,5,200,4,0
684425,41,finance,0.14,0.7,5,200,6,0
549410,49,finance,0.25,0.3,5,177,6,0
971343,23,hr,0.46,0.87,5,200,6,1
119789,27,finance,0.32,0.65,6,200,6,0
7843,41,hr,0.72,0.91,5,200,6,0
507992,41,it,0.59,0.39,3,200,6,1
83951,45,hr,1.0,0.83,5,200,6,0
284934,54,hr,0.65,0.1,6,200,6,1
467198,41,it,0.09,0.29,4,200,5,1
161133,25,it,1.0,0.46,3,200,5,0
280963,30,finance,0.8,0.29,4,200,7,0
179328,60,hr,0.42,0.55,5,234,6,0
262229,25,it,0.87,0.54,4,171,4,1
415579,25,finance,0.93,0.93,3,212,9,0
888536,28,finance,0.43,0.31,6,200,6,0
58299,32,hr,0.4,0.3,4,200,6,1
137840,44,it,0.06,0.46,4,200,2,0
972757,41,finance,0.68,0.08,5,200,10,0
441567,54,operations,0.17,0.26,4,200,4,0
846873,41,operations,0.86,0.58,5,220,6,0
332508,41,finance,0.09,0.07,5,180,10,0
920855,23,hr,0.46,0.76,7,200,6,1
528310,41,unknown,0.2,0.18,4,200,6,0
592350,41,hr,0.06,0.39,5,200,9,0
79346,41,unknown,0.73,0.64,5,200,6,0
100376,39,it,0.07,0.32,5,297,6,0
817370,44,hr,0.65,0.36,4,280,6,0
623450,42,hr,0.29,0.33,5,200,1,0
458533,41,hr,0.99,0.47,5,200,6,0
829302,41,hr,0.41,0.39,5,155,10,0
30804,41,finance,0.59,0.27,5,193,3,0
50601,41,hr,0.65,0.44,7,200,6,1
781822,41,it,0.22,0.09,5,223,6,1
687814,41,unknown,0.34,0.27,2,266,5,1
413967,41,finance,0.13,0.52,5,200,6,0
34785,41,operations,0.28,0.75,7,165,3,0
623385,41,finance,0.33,0.72,3,200,7,1
469280,25,operations,0.62,0.65,5,200,8,0
623190,41,unknown,0.74,0.34,5,200,4,0
435333,56,unknown,0.13,0.81,7,274,6,1
391906,41,hr,0.56,0.82,2,200,7,0
136902,55,hr,0.53,0.74,5,200,6,1
5498,41,sales,0.29,0.98,2,267,3,1
522931,30,it,0.22,0.45,6,200,6,0
493814,41,hr,0.24,0.6,7,200,9,0
688990,45,sales,0.66,0.01,5,200,6,0
714515,57,finance,0.37,0.4,2,204,6,0
520889,39,hr,0.43,0.78,3,159,6,0
914505,24,hr,0.7,0.23,5,200,6,0
448517,25,hr,0.31,0.33,7,200,6,0
490900,41,sales,0.55,0.36,3,178,6,0
235727,32,finance,0.67,0.11,5,152,6,1
112411,30,sales,0.79,0.67,5,296,4,1
454098,36,hr,0.93,0.3,4,209,5,1
667413,58,finance,0.17,0.75,7,190,6,0
768286,27,operations,0.5,0.74,3,200,2,0
477771,41,operations,0.43,0.27,7,212,1,0
940656,27,finance,0.45,0.27,5,200,6,0
612229,29,finance,0.58,0.5,4,296,1,0
168207,50,hr,0.9,0.72,5,200,6,0
60386,42,hr,0.88,0.02,5,197,6,0
382674,41,it,0.83,0.85,5,200,1,1
46884,25,finance,0.71,0.18,5,200,3,1
139249,59,finance,0.85,0.64,5,200,6,0
776463,41,it,0.26,0.54,5,200,6,0
891464,52,it,0.36,0.06,5,200,6,0
504800,41,hr,0.87,0.67,5,200,2,1
517413,41,hr,0.3,0.09,2,166,10,1
686286,57,it,0.78,0.68,5,291,6,1
311135,24,it,0.77,0.52,5,200,6,0
188225,33,it,0.62,0.44,5,287,10,0
634674,28,hr,0.32,0.84,5,155,5,0
156032,46,hr,0.3,0.95,5,200,6,1
478382,52,operations,0.32,0.55,7,200,8,0
622825,44,hr,0.77,0.78,5,200,6,1
480734,41,finance,0.54,0.92,5,200,5,1
891579,41,unknown,0.38,0.3,5,256,6,1
753100,41,unknown,0.47,0.84,5,200,6,0
367984,41,unknown,0.85,0.54,5,157,8,0
101123,27,unknown,0.88,0.84,5,200,6,0
227518,41,unknown,0.57,0.68,7,278,6,1
237045,49,unknown,0.6,0.57,4,200,6,0
338157,44,unknown,0.05,0.4,4,200,3,0
601184,41,finance,0.91,0.43,5,200,6,1
341036,51,finance,0.67,0.7,5,175,6,0
394095,37,hr,0.2,0.37,5,200,6,0
324767,41,operations,0.49,0.34,5,286,4,0
818758,41,sales,0.14,0.69,5,171,6,1
107713,41,hr,0.95,0.68,5,176,3,1
343765,41,unknown,0.38,0.57,5,245,6,1
799471,34,finance,0.65,0.18,5,200,1,1
570489,41,operations,0.59,0.71,5,169,6,1
368209,41,hr,0.88,0.33,5,212,6,1
183546,37,finance,0.15,0.97,5,200,6,0
810638,31,finance,0.2,0.22,5,200,6,0
61090,41,it,0.73,0.86,5,220,8,0
616084,28,unknown,0.0,0.14,5,200,6,0
928030,41,operations,0.42,0.42,5,165,10,1
930515,41,finance,0.02,0.13,5,288,4,1
448424,42,hr,0.8,0.51,3,200,6,0
266671,34,finance,0.75,0.74,2,160,6,1
903548,41,it,0.23,0.87,5,200,7,0
212111,43,hr,0.99,0.12,5,219,6,1
886833,41,sales,0.93,0.88,7,274,6,1
347512,33,sales,0.21,0.77,3,200,6,0
164261,44,it,0.41,0.5,7,223,5,0
552846,27,sales,0.91,0.36,5,200,6,1
310074,51,finance,0.8,0.34,4,230,6,0
457931,41,finance,0.5,0.5,5,182,8,1
742058,23,finance,0.57,0.5,5,200,6,1
342342,41,sales,0.15,0.24,7,200,6,0
925319,50,hr,0.78,0.48,2,200,6,0
168476,41,sales,0.34,0.58,5,200,2,0
762447,41,hr,0.53,0.04,5,260,6,1
606234,55,finance,0.72,0.06,7,206,9,0
320037,41,it,0.62,0.05,7,200,6,1
528336,33,finance,0.48,0.31,6,200,6,1
937665,32,unknown,0.33,0.78,4,200,6,1
248260,30,unknown,0.02,0.62,6,200,6,0
938234,26,hr,0.49,0.61,5,178,6,0
606149,41,finance,0.86,0.69,3,186,6,0
476362,41,sales,0.28,0.73,5,200,6,0
476716,41,operations,0.79,0.17,5,200,6,1
867155,50,it,0.19,0.49,5,200,7,0
127890,41,finance,0.37,0.58,5,200,10,1
444830,58,finance,0.65,0.27,6,200,1,0
972241,41,it,0.72,0.97,5,200,7,0
466776,30,operations,0.1,0.24,4,200,6,1
214695,41,hr,0.12,0.18,5,200,6,1
600529,41,sales,1.0,0.77,5,163,3,0
503557,41,it,0.7,0.23,5,254,3,0
416447,41,sales,0.63,0.02,4,200,6,1
515037,22,hr,0.46,0.99,5,200,6,0
967017,49,finance,0.63,0.29,5,234,4,0
772824,50,sales,0.97,0.84,6,297,6,1
859667,41,hr,0.4,0.11,5,200,2,0
183702,54,unknown,0.85,0.84,5,200,6,0
990781,53,hr,0.15,0.61,5,200,3,0
580459,41,hr,0.92,0.27,3,200,6,0
704249,41,operations,0.6,0.45,4,166,6,1
463096,26,sales,0.31,0.52,5,200,4,0
334079,41,it,0.82,0.46,6,200,9,0
885030,41,it,0.46,0.43,5,214,6,0
767563,23,hr,0.61,0.67,4,260,6,0
611127,44,hr,0.12,0.56,5,244,5,0
186318,41,operations,0.93,0.52,5,200,6,0
647370,24,hr,0.24,0.27,5,257,2,0
959259,36,operations,0.99,0.92,5,200,6,0
714187,41,hr,0.38,0.68,5,200,6,0
826313,51,finance,0.71,0.3,3,243,1,0
281517,41,sales,0.89,0.83,5,211,9,0
456193,42,sales,0.82,0.41,5,261,7,0
329401,41,it,0.15,0.54,6,297,6,1
455493,41,operations,0.45,0.2,5,259,3,1
547717,41,unknown,0.95,0.18,3,216,6,1
471650,25,unknown,0.32,0.81,5,200,6,0
507979,32,it,0.45,0.6,5,200,2,1
137411,41,unknown,0.83,0.63,5,266,7,1
973382,49,sales,0.81,0.97,5,200,8,0
331204,41,unknown,0.74,0.4,5,200,6,0
838875,53,unknown,0.32,0.5,6,200,6,0
584733,50,it,0.37,0.52,6,264,9,0
80106,56,finance,0.44,0.77,6,200,6,1
26274,51,finance,0.79,0.53,5,181,6,1
688881,41,hr,0.01,0.02,5,180,1,0
214945,23,finance,0.69,0.42,5,260,6,0
547290,24,finance,0.29,0.21,6,200,6,0
805356,32,sales,0.06,0.06,5,200,6,1
302784,42,finance,0.85,0.31,5,200,6,0
957553,41,hr,0.75,0.28,5,236,4,0
711430,32,operations,0.33,0.35,7,256,5,0
720884,50,unknown,0.64,0.05,5,268,7,0
338984,41,hr,0.14,0.92,5,198,7,0
733426,41,finance,0.34,0.92,5,166,6,0
667032,28,unknown,0.99,0.17,5,177,8,0
771511,27,finance,0.46,0.25,5,200,2,1
65391,41,hr,0.83,0.91,7,200,9,0
136040,41,hr,0.17,0.67,2,184,6,1
659543,41,unknown,0.02,0.67,5,274,6,1
130063,41,it,0.9,0.73,5,200,7,0
213008,41,finance,0.87,0.29,7,200,6,0
490664,32,finance,0.1,0.56,5,168,6,0
202327,41,operations,0.21,0.21,5,212,10,0
537911,50,sales,0.57,0.51,5,175,6,0
148387,41,finance,0.09,0.96,5,200,6,0
117107,46,finance,0.37,0.31,2,273,8,1
418119,41,hr,0.17,0.24,3,200,6,1
41797,41,finance,0.93,0.31,5,200,1,0
2672,28,sales,0.73,0.1,2,200,6,0
969348,41,operations,0.34,0.22,5,200,4,0
700861,43,it,0.09,0.16,5,200,6,0
710300,41,hr,0.27,0.87,5,282,6,0
757626,46,unknown,0.86,0.41,5,200,6,1
177527,30,sales,0.44,0.6,7,200,6,1
368341,41,hr,0.96,0.29,7,202,6,0
331365,41,it,0.66,0.19,5,200,10,0
881919,34,sales,0.07,0.04,2,200,6,1
111841,41,finance,0.95,0.09,5,200,6,0
523403,41,unknown,0.88,0.31,5,272,6,0
229003,41,finance,0.76,0.74,6,200,8,1
341153,52,hr,0.33,0.55,5,255,6,1
576435,37,finance,0.36,0.04,5,232,1,0
570128,41,hr,0.28,0.82,2,200,6,0
869149,41,it,0.75,0.35,3,211,6,0
781737,41,finance,0.53,0.55,5,200,6,0
767567,50,finance,0.96,0.03,5,200,10,0
143880,41,finance,0.09,1.0,5,246,2,1
623193,41,unknown,0.82,0.55,7,200,6,1
469463,34,hr,0.24,0.61,5,284,6,0
873503,45,operations,0.7,0.61,5,200,2,0
460284,49,sales,0.75,0.51,5,216,4,0
883158,37,hr,0.88,0.68,7,200,4,0
57309,59,operations,0.54,0.98,2,151,6,0
54494,41,hr,0.53,0.44,7,154,8,0
145735,41,hr,0.81,0.63,7,221,9,0
432443,41,finance,0.08,0.62,5,200,6,0
195355,41,hr,0.98,0.89,5,197,6,1
293038,41,finance,0.08,0.9,6,200,6,0
458154,41,hr,0.13,0.76,5,200,10,0
325873,45,hr,0.87,0.17,6,204,8,0
719036,41,hr,0.68,0.72,5,189,2,1
943053,41,finance,0.11,0.6,5,300,10,1
765591,37,it,0.51,0.7,3,200,4,0
405289,26,sales,0.99,0.2,5,251,6,0
639041,41,operations,0.49,0.3,4,245,6,0
186525,41,finance,0.1,1.0,5,200,9,0
849092,41,unknown,0.82,0.1,5,261,5,0
830485,53,it,0.86,0.69,5,200,1,0
580938,41,finance,0.27,0.85,6,259,2,0
11807,44,sales,0.69,0.14,4,163,1,1
337494,45,finance,0.74,0.05,5,266,6,0
411025,41,finance,0.66,0.97,5,295,6,1
294900,31,hr,0.53,0.37,3,200,6,0
586858,41,operations,0.77,0.87,5,200,7,0
254832,38,hr,0.29,0.6,5,200,6,0
431388,44,operations,0.69,0.52,7,200,6,0
617642,41,hr,0.13,0.05,5,150,6,0
578770,50,it,0.39,0.02,5,263,4,0
966036,41,it,0.54,0.8,5,234,8,0
633703,41,finance,0.89,0.57,7,200,6,0
270610,41,unknown,0.15,0.85,5,200,10,0
950526,43,hr,0.25,0.4,5,200,9,0
182846,41,finance,0.92,0.1,3,200,3,1
676625,41,unknown,0.24,0.86,5,200,8,0
507592,47,finance,0.42,0.3,2,200,6,1
451533,42,operations,0.6,0.13,4,200,7,0
894314,41,finance,0.77,0.11,5,182,6,1
724708,41,operations,0.53,0.66,7,200,3,1
284652,41,hr,0.71,0.94,3,275,8,1
797284,41,operations,0.4,0.56,3,200,6,0
832141,41,finance,0.16,0.17,3,200,6,0
899960,41,sales,0.3,0.16,5,200,6,0
808145,41,hr,0.4,0.96,2,200,6,1
458065,26,operations,0.3,0.22,4,200,6,0
568605,41,finance,0.33,0.39,5,200,6,1
123914,39,operations,0.58,0.03,5,187,2,0
907832,41,finance,0.93,0.73,5,200,7,1
943137,43,finance,0.25,0.36,5,200,6,0
