Employee_ID,Age,Department,Satisfaction_Level,Last_Evaluation,Projects,Average_Monthly_Hours,Years_at_Company,Left
80838,,Sales,0.08,0.2,7.0,999,,0.0
173143,,Sales,0.73,0.98,4.0,999,,0.0
267470,52.0,Hr,0.73,0.44,3.0,228,,1.0
96424,,,0.7,0.37,6.0,999,6.0,1.0
221166,27.0,Sales,0.93,0.81,,174,,0.0
706377,,,0.04,0.31,,999,,1.0
190405,,,0.8,0.19,,210,,
922478,24.0,Finance,0.68,0.92,6.0,999,3.0,
495168,,finanCe,0.68,0.99,7.0,254,10.0,0.0
406309,43.0,Finance,0.14,0.1,,999,8.0,0.0
812648,,Hr,0.43,0.03,,999,10.0,0.0
153208,,IT,0.73,0.02,4.0,239,,0.0
446103,,Hr,0.43,0.65,,151,,1.0
550867,,,0.88,0.78,6.0,176,2.0,
424551,30.0,,0.33,0.06,,285,6.0,0.0
99847,22.0,Operations,0.12,0.34,,200,,1.0
106832,23.0,Hr,0.24,0.16,,223,7.0,
610790,38.0,,0.59,0.93,,150,4.0,0.0
542315,52.0,HR,0.11,0.75,3.0,297,2.0,0.0
927896,,Finance,0.49,0.08,7.0,999,,0.0
743032,,Hr,0.33,0.23,,999,,0.0
924264,28.0,finanCe,0.57,0.86,,249,,0.0
182440,26.0,IT,0.3,0.05,3.0,246,,1.0
638606,,Operations,0.19,0.3,,999,,0.0
165940,57.0,HR,0.87,0.86,,999,10.0,1.0
867440,24.0,Finance,0.43,0.81,5.0,999,9.0,1.0
114547,38.0,Finance,0.42,0.74,,213,1.0,1.0
989487,28.0,,0.47,0.34,2.0,310,,0.0
5366,32.0,Hr,0.3,0.28,5.0,230,1.0,1.0
985645,48.0,HR,0.31,0.33,,999,,
419058,48.0,HR,0.49,0.84,,252,,0.0
918985,56.0,HR,0.3,0.13,,228,1.0,1.0
366930,,finanCe,0.0,0.23,6.0,244,,0.0
685830,,Finance,0.46,0.78,,999,,0.0
282190,,IT,0.72,0.51,7.0,999,,1.0
235923,,Operations,0.49,0.15,,999,,
360122,54.0,Operations,0.71,0.3,7.0,999,5.0,1.0
618715,,Finance,0.75,0.92,2.0,999,,0.0
412707,57.0,Operations,0.85,0.07,,233,4.0,
800157,,Hr,0.94,0.66,3.0,244,3.0,1.0
158503,,,0.55,0.43,,999,6.0,
682526,,IT,0.86,0.81,,212,5.0,0.0
16355,51.0,finanCe,0.09,0.73,,999,4.0,0.0
118864,,Finance,0.94,0.46,,157,8.0,0.0
210745,,Operations,0.99,0.7,,999,,0.0
424254,,Sales,0.6,0.41,,999,2.0,0.0
496066,34.0,Finance,0.66,0.46,5.0,999,,
511845,,Sales,0.47,0.59,,999,8.0,
59992,47.0,finanCe,0.17,0.1,6.0,999,,1.0
513509,59.0,IT,0.2,0.51,,999,8.0,0.0
925464,38.0,,0.87,0.77,,296,,1.0
646424,,Finance,0.64,0.76,,296,3.0,1.0
112897,,Operations,0.6,0.74,,999,4.0,
227841,,Operations,0.22,0.78,,999,2.0,1.0
18530,,,0.95,0.3,,255,3.0,
952290,,Sales,0.18,0.3,5.0,306,8.0,0.0
472390,57.0,finanCe,0.44,0.51,6.0,274,7.0,0.0
626751,,,0.52,0.81,3.0,152,4.0,1.0
30611,,Finance,0.98,0.43,2.0,999,2.0,0.0
450856,,Finance,0.71,0.57,,215,,0.0
917050,38.0,IT,0.04,0.02,,150,1.0,0.0
521598,,Finance,0.71,0.51,,999,1.0,
470417,50.0,,0.55,0.44,4.0,233,9.0,0.0
468680,43.0,Sales,0.61,0.51,3.0,298,,0.0
496193,53.0,IT,0.47,0.99,2.0,246,2.0,1.0
149881,35.0,,0.71,0.13,,219,9.0,1.0
247966,,Finance,0.46,0.83,,999,,1.0
514915,,IT,0.99,0.43,,999,6.0,1.0
162920,,Hr,0.13,0.39,3.0,999,9.0,1.0
69843,32.0,IT,0.01,0.25,3.0,173,9.0,1.0
636543,28.0,finanCe,0.3,0.18,,999,10.0,1.0
670458,,Operations,0.13,0.35,,999,,1.0
643487,52.0,Finance,0.29,0.13,6.0,154,2.0,1.0
674458,,,0.89,0.2,,231,10.0,0.0
869738,,HR,0.28,0.59,6.0,999,7.0,0.0
667671,,Finance,0.64,0.88,5.0,999,,
196820,32.0,Hr,0.15,0.02,5.0,295,,
567705,,IT,0.02,0.92,,169,7.0,0.0
969596,,Operations,0.94,0.04,,245,,0.0
679046,,Finance,0.19,0.6,4.0,999,,1.0
641919,,IT,0.55,0.53,5.0,189,5.0,1.0
787791,,finanCe,0.3,0.74,4.0,999,,0.0
265124,,,0.13,0.61,,999,,
623729,42.0,,0.17,0.22,7.0,999,10.0,1.0
170955,,,0.18,0.92,,999,,0.0
587377,26.0,IT,0.54,0.37,7.0,999,10.0,1.0
186365,,finanCe,0.45,0.83,6.0,208,,
389233,24.0,finanCe,0.06,0.36,,999,,0.0
733453,49.0,Sales,0.23,0.75,,220,3.0,1.0
192928,,Finance,0.78,0.69,3.0,216,9.0,1.0
43811,46.0,finanCe,0.55,0.25,,999,6.0,0.0
679635,37.0,IT,0.27,0.27,,999,9.0,
261903,,Hr,0.33,0.15,,202,,
782185,,Operations,0.79,0.16,,179,,1.0
326984,50.0,Operations,0.53,0.22,6.0,999,6.0,0.0
947635,29.0,Hr,0.88,0.24,3.0,278,5.0,1.0
355406,,Finance,0.31,0.59,,161,3.0,
760690,,Sales,0.69,0.9,2.0,999,8.0,0.0
673945,,Sales,0.7,0.18,3.0,999,6.0,
233420,60.0,Hr,0.57,0.99,,310,8.0,1.0
975515,60.0,Operations,0.54,0.47,7.0,172,7.0,0.0
662048,,finanCe,0.99,0.6,5.0,160,,0.0
774802,,Finance,0.16,0.23,,999,7.0,0.0
284643,,Operations,0.85,0.59,,999,,
820727,,Finance,0.03,0.27,2.0,263,,1.0
177165,,Hr,0.29,0.56,2.0,288,10.0,1.0
665916,26.0,Sales,0.19,0.01,,217,,1.0
835103,,Sales,0.61,0.67,,999,8.0,1.0
797455,50.0,IT,0.64,0.68,,999,9.0,1.0
538374,,finanCe,0.87,0.92,2.0,205,8.0,
7277,,Hr,0.09,0.96,,163,,0.0
109949,,,0.54,0.26,,999,,
177399,56.0,,0.83,0.91,3.0,999,6.0,1.0
521798,43.0,HR,0.03,0.31,,285,,
254394,,HR,0.17,0.42,,999,9.0,1.0
216404,60.0,finanCe,0.97,0.64,5.0,999,,
840383,,Hr,0.16,0.91,,999,1.0,0.0
82108,,Finance,0.41,0.35,6.0,999,,1.0
606536,40.0,Finance,0.52,0.98,,187,5.0,1.0
36673,,Hr,0.45,0.98,,999,,
619012,,Operations,0.03,0.91,6.0,999,8.0,0.0
106436,,Finance,0.71,0.93,7.0,999,6.0,0.0
490513,38.0,Finance,0.92,0.13,,999,1.0,0.0
60743,40.0,HR,0.89,0.6,3.0,271,5.0,0.0
987659,,Finance,0.25,0.8,,173,,0.0
687673,48.0,finanCe,0.22,0.78,5.0,166,,1.0
904059,,Operations,0.06,0.34,,999,8.0,0.0
134766,32.0,Hr,0.02,0.55,2.0,200,5.0,0.0
274181,,Hr,0.28,0.45,4.0,254,9.0,
441926,,Finance,0.65,0.21,5.0,266,3.0,
190184,36.0,finanCe,0.77,0.44,,999,6.0,1.0
512913,,finanCe,0.01,0.69,,222,8.0,0.0
301653,,IT,0.47,0.22,,999,2.0,0.0
957266,55.0,Operations,0.44,0.69,,999,1.0,
818678,38.0,,0.18,0.7,4.0,999,4.0,0.0
936398,,finanCe,0.84,0.82,7.0,308,7.0,
380695,,HR,0.98,0.67,,180,,0.0
551046,,Operations,0.8,0.93,,999,2.0,0.0
541204,,HR,0.15,0.06,4.0,192,,0.0
449242,48.0,finanCe,0.57,0.12,5.0,999,5.0,1.0
792674,,,0.23,0.44,,174,,
978063,,Sales,0.69,0.79,,999,,0.0
419368,,HR,0.45,0.22,4.0,171,,0.0
647029,,,0.24,0.99,,999,7.0,1.0
453969,22.0,Hr,0.33,0.05,,298,10.0,1.0
182979,,Hr,0.41,0.91,4.0,166,,
956565,48.0,Hr,0.48,0.25,2.0,999,,1.0
803961,25.0,,0.78,0.58,2.0,305,,
2505,33.0,Operations,0.51,0.3,,999,,
309144,56.0,finanCe,0.24,0.22,3.0,200,3.0,
64730,,Finance,0.61,0.23,6.0,999,1.0,1.0
187699,50.0,Sales,0.62,0.72,,999,,
525149,42.0,,0.49,0.98,,999,2.0,0.0
19889,,Hr,0.71,0.13,2.0,190,,0.0
806215,22.0,Finance,0.23,0.47,7.0,273,2.0,1.0
342819,55.0,,0.83,0.48,,295,,0.0
622369,41.0,finanCe,0.65,0.68,5.0,999,6.0,1.0
136379,,Sales,0.7,0.98,,257,,0.0
49505,39.0,Hr,0.07,0.02,5.0,235,6.0,0.0
219981,,Finance,0.98,0.86,6.0,295,,1.0
802379,38.0,Operations,0.56,0.9,,999,6.0,
564438,46.0,Operations,0.15,0.71,6.0,200,,1.0
511108,,,0.44,0.58,,175,1.0,0.0
947105,60.0,Sales,0.5,0.53,,166,,
643196,45.0,,0.54,0.09,2.0,165,1.0,1.0
939225,25.0,Operations,0.82,0.87,,999,,0.0
121658,,Hr,0.84,0.35,,241,,
413495,46.0,,1.0,0.44,5.0,999,3.0,
926520,,HR,0.46,0.73,,999,4.0,1.0
816514,,Sales,0.15,0.95,,282,,1.0
253678,,Finance,0.88,0.2,,999,,
809216,55.0,Finance,0.06,0.23,,999,8.0,
702418,38.0,,0.81,0.2,7.0,999,2.0,
578595,,Operations,0.04,0.13,,999,2.0,1.0
302822,24.0,,0.48,0.96,6.0,164,2.0,
730682,,Finance,0.04,0.23,6.0,155,9.0,
337669,54.0,HR,0.13,0.32,7.0,197,,1.0
73882,33.0,Finance,0.95,0.07,7.0,999,,
48011,50.0,Hr,0.87,0.19,,999,4.0,
640877,,HR,0.94,0.8,,999,,1.0
620643,60.0,,0.34,0.54,3.0,251,,0.0
685976,,Finance,0.54,0.15,7.0,999,,1.0
288776,,finanCe,0.9,0.66,,182,10.0,1.0
802156,34.0,HR,0.15,0.76,,263,,
714444,,IT,0.99,0.68,,999,,1.0
372846,,Finance,0.98,0.17,7.0,999,,1.0
272473,,HR,0.92,0.2,,999,,0.0
587447,,Sales,0.91,0.95,,999,,
189672,,Finance,0.28,0.06,,999,,
528288,,IT,0.14,0.38,6.0,999,,
320056,,finanCe,0.22,0.07,,999,,0.0
610667,,HR,0.81,0.89,6.0,999,5.0,0.0
124517,,,0.25,0.17,3.0,245,9.0,
396493,37.0,IT,0.74,0.1,4.0,224,3.0,
55087,,IT,0.35,0.04,,251,,1.0
538369,54.0,Operations,0.47,0.63,,999,5.0,0.0
716413,,Sales,0.93,0.02,7.0,999,,
372675,,Sales,0.29,0.02,6.0,166,3.0,0.0
876368,,Operations,0.2,0.94,,999,,
675128,25.0,Hr,0.85,0.03,5.0,999,9.0,0.0
644348,,Sales,0.86,0.4,7.0,999,,1.0
747676,46.0,Operations,0.96,0.33,,301,,0.0
46623,22.0,IT,0.45,0.46,,253,5.0,0.0
900753,,,0.59,0.57,2.0,999,5.0,1.0
719660,,Hr,0.05,0.83,5.0,999,1.0,0.0
710357,40.0,,0.81,0.91,,224,8.0,
923722,45.0,Hr,0.25,0.23,,219,,
759142,45.0,HR,0.56,0.87,,232,1.0,
530997,51.0,HR,0.81,0.96,,999,,0.0
756544,,,0.18,0.93,,999,,
44429,,Sales,0.4,0.33,2.0,999,,1.0
182780,49.0,IT,0.08,0.02,,999,,1.0
753748,40.0,,0.0,0.88,,270,7.0,0.0
4245,,HR,0.95,0.37,5.0,999,6.0,0.0
742602,27.0,Finance,0.33,0.75,7.0,999,,0.0
92404,,Operations,0.92,0.75,2.0,306,1.0,0.0
590863,48.0,finanCe,0.26,0.27,,276,,
469322,37.0,HR,0.08,0.09,2.0,999,3.0,1.0
108172,37.0,finanCe,0.91,0.22,,178,,0.0
428840,,HR,0.09,0.74,7.0,999,6.0,
977843,54.0,,0.26,0.27,2.0,999,9.0,
687727,,Finance,0.15,0.29,4.0,999,2.0,0.0
241862,,HR,0.54,0.48,,219,,1.0
552440,52.0,IT,0.02,0.42,,999,3.0,1.0
354840,,,0.18,0.71,,999,,
752548,41.0,Hr,0.84,0.76,,999,,1.0
706898,,finanCe,0.86,0.25,6.0,999,10.0,1.0
816996,,Sales,0.22,0.72,,999,4.0,0.0
43453,,Finance,0.57,0.53,,999,4.0,1.0
60229,58.0,Hr,0.3,0.67,3.0,246,,1.0
451072,58.0,IT,0.45,0.84,,999,,0.0
641179,,Hr,0.18,0.05,,999,3.0,
723307,,HR,0.77,0.76,,999,,
815000,46.0,HR,0.37,0.1,,999,8.0,
361025,28.0,finanCe,0.06,0.85,,286,,1.0
121078,,Hr,0.74,0.35,,999,4.0,1.0
544360,,,0.48,0.68,,175,5.0,
773434,,,0.14,0.32,2.0,217,8.0,1.0
98628,31.0,finanCe,0.68,0.62,,999,10.0,1.0
899434,,HR,0.53,0.45,,999,4.0,0.0
907329,,Operations,0.15,0.54,4.0,999,2.0,1.0
463196,40.0,,0.73,0.55,,999,7.0,
759885,47.0,,0.63,0.95,6.0,272,,
368965,,finanCe,0.74,0.01,,224,,
319888,,finanCe,0.16,0.32,,999,6.0,1.0
332886,55.0,Finance,0.28,0.79,,999,10.0,1.0
487681,,Sales,0.81,0.31,6.0,216,10.0,
589704,23.0,finanCe,0.43,0.69,7.0,999,3.0,
649801,54.0,HR,0.42,0.45,4.0,999,1.0,1.0
51950,,HR,0.49,0.99,,249,,1.0
554729,,Hr,0.26,0.18,,999,,1.0
201037,27.0,Operations,0.0,0.93,,999,5.0,1.0
699770,48.0,HR,0.18,0.84,,999,,1.0
932933,,IT,0.94,0.13,7.0,291,,
571494,52.0,Sales,0.03,0.6,2.0,999,,1.0
953426,58.0,Finance,0.85,0.16,6.0,298,,0.0
136402,,,0.42,0.11,5.0,293,10.0,1.0
584088,,,0.45,0.93,2.0,286,7.0,1.0
497036,,Sales,0.49,0.98,6.0,213,6.0,0.0
674111,,Hr,0.3,0.04,3.0,999,3.0,
796264,,HR,0.88,0.03,3.0,999,,1.0
370284,,Operations,0.68,0.19,4.0,999,6.0,1.0
7047,,Operations,0.23,0.37,5.0,999,6.0,1.0
252753,,Operations,0.32,0.37,5.0,999,,
249242,,IT,0.49,0.8,,999,10.0,0.0
708972,,Operations,0.64,0.84,,999,8.0,1.0
571139,,Finance,0.77,0.19,,999,4.0,0.0
684425,,Finance,0.14,0.7,,999,,0.0
549410,49.0,Finance,0.25,0.3,,177,,
971343,23.0,Hr,0.46,0.87,,999,,1.0
119789,27.0,finanCe,0.32,0.65,6.0,999,,0.0
7843,,HR,0.72,0.91,,999,,0.0
507992,,IT,0.59,0.39,3.0,999,,1.0
83951,45.0,Hr,1.0,0.83,,999,,
284934,54.0,Hr,0.65,0.1,6.0,309,,1.0
467198,,IT,0.09,0.29,4.0,999,5.0,1.0
161133,25.0,IT,1.0,0.46,3.0,999,5.0,0.0
280963,30.0,Finance,0.8,0.29,4.0,999,7.0,0.0
179328,60.0,HR,0.42,0.55,,234,,
262229,25.0,IT,0.87,0.54,4.0,171,4.0,1.0
415579,25.0,Finance,0.93,0.93,3.0,212,9.0,
888536,28.0,finanCe,0.43,0.31,6.0,999,,0.0
58299,32.0,HR,0.4,0.3,4.0,999,,1.0
137840,44.0,IT,0.06,0.46,4.0,999,2.0,0.0
972757,,finanCe,0.68,0.08,,999,10.0,0.0
441567,54.0,Operations,0.17,0.26,4.0,999,4.0,0.0
846873,,Operations,0.86,0.58,,220,,
332508,,Finance,0.09,0.07,,180,10.0,
920855,23.0,HR,0.46,0.76,7.0,999,6.0,1.0
528310,,,0.2,0.18,4.0,999,,0.0
592350,,HR,0.06,0.39,,999,9.0,0.0
79346,,,0.73,0.64,,309,,0.0
100376,39.0,IT,0.07,0.32,,297,6.0,0.0
817370,44.0,HR,0.65,0.36,4.0,280,,0.0
623450,42.0,HR,0.29,0.33,,999,1.0,
458533,,HR,0.99,0.47,,999,6.0,
829302,,HR,0.41,0.39,,155,10.0,0.0
30804,,Finance,0.59,0.27,,193,3.0,0.0
50601,,Hr,0.65,0.44,7.0,999,,1.0
781822,,IT,0.22,0.09,,223,,1.0
687814,,,0.34,0.27,2.0,266,5.0,1.0
413967,,Finance,0.13,0.52,,999,6.0,
34785,,Operations,0.28,0.75,7.0,165,3.0,0.0
623385,,Finance,0.33,0.72,3.0,305,7.0,1.0
469280,25.0,Operations,0.62,0.65,,999,8.0,
623190,,,0.74,0.34,5.0,999,4.0,
435333,56.0,,0.13,0.81,7.0,274,,1.0
391906,,HR,0.56,0.82,2.0,999,7.0,0.0
136902,55.0,Hr,0.53,0.74,,999,,1.0
5498,,Sales,0.29,0.98,2.0,267,3.0,1.0
522931,30.0,IT,0.22,0.45,6.0,999,,0.0
493814,,HR,0.24,0.6,7.0,999,9.0,
688990,45.0,Sales,0.66,0.01,,999,,0.0
714515,57.0,Finance,0.37,0.4,2.0,204,6.0,
520889,39.0,HR,0.43,0.78,3.0,159,,0.0
914505,24.0,HR,0.7,0.23,5.0,999,,0.0
448517,25.0,Hr,0.31,0.33,7.0,999,,0.0
490900,,Sales,0.55,0.36,3.0,178,,
235727,32.0,finanCe,0.67,0.11,,152,,1.0
112411,30.0,Sales,0.79,0.67,,296,4.0,1.0
454098,36.0,HR,0.93,0.3,4.0,209,5.0,1.0
667413,58.0,finanCe,0.17,0.75,7.0,190,,0.0
768286,27.0,Operations,0.5,0.74,3.0,999,2.0,
477771,,Operations,0.43,0.27,7.0,212,1.0,
940656,27.0,finanCe,0.45,0.27,,999,,0.0
612229,29.0,finanCe,0.58,0.5,4.0,296,1.0,0.0
168207,50.0,HR,0.9,0.72,,999,,0.0
60386,42.0,HR,0.88,0.02,,197,,
382674,,IT,0.83,0.85,,999,1.0,1.0
46884,25.0,Finance,0.71,0.18,,999,3.0,1.0
139249,59.0,finanCe,0.85,0.64,,999,,
776463,,IT,0.26,0.54,,999,,0.0
891464,52.0,IT,0.36,0.06,,999,,
504800,,Hr,0.87,0.67,5.0,999,2.0,1.0
517413,,Hr,0.3,0.09,2.0,166,10.0,1.0
686286,57.0,IT,0.78,0.68,,291,,1.0
311135,24.0,IT,0.77,0.52,,999,,
188225,33.0,IT,0.62,0.44,,287,10.0,
634674,28.0,Hr,0.32,0.84,,155,5.0,0.0
156032,46.0,Hr,0.3,0.95,,999,,1.0
478382,52.0,Operations,0.32,0.55,7.0,999,8.0,0.0
622825,44.0,HR,0.77,0.78,,200,,1.0
480734,,finanCe,0.54,0.92,,999,5.0,1.0
891579,,,0.38,0.3,,256,6.0,1.0
753100,41.0,,0.47,0.84,,999,,
367984,,,0.85,0.54,,157,8.0,0.0
101123,27.0,,0.88,0.84,5.0,999,,0.0
227518,,,0.57,0.68,7.0,278,,1.0
237045,49.0,,0.6,0.57,4.0,999,,0.0
338157,44.0,,0.05,0.4,4.0,999,3.0,0.0
601184,,finanCe,0.91,0.43,,999,,1.0
341036,51.0,finanCe,0.67,0.7,,175,,0.0
394095,37.0,HR,0.2,0.37,,999,,
324767,,Operations,0.49,0.34,,286,4.0,
818758,,Sales,0.14,0.69,,171,,1.0
107713,,Hr,0.95,0.68,,176,3.0,1.0
343765,,,0.38,0.57,,245,,1.0
799471,34.0,finanCe,0.65,0.18,5.0,999,1.0,1.0
570489,,Operations,0.59,0.71,,169,,1.0
368209,,HR,0.88,0.33,,212,,1.0
183546,37.0,Finance,0.15,0.97,,999,6.0,
810638,31.0,Finance,0.2,0.22,,999,,
61090,,IT,0.73,0.86,,220,8.0,
616084,28.0,,0.0,0.14,,999,,0.0
928030,,Operations,0.42,0.42,,165,10.0,1.0
930515,,Finance,0.02,0.13,,288,4.0,1.0
448424,42.0,HR,0.8,0.51,3.0,999,6.0,0.0
266671,34.0,Finance,0.75,0.74,2.0,160,,1.0
903548,,IT,0.23,0.87,,999,7.0,
212111,43.0,HR,0.99,0.12,,219,,1.0
886833,,Sales,0.93,0.88,7.0,274,6.0,1.0
347512,33.0,Sales,0.21,0.77,3.0,999,,
164261,44.0,IT,0.41,0.5,7.0,223,5.0,0.0
552846,27.0,Sales,0.91,0.36,,999,,1.0
310074,51.0,Finance,0.8,0.34,4.0,230,,
457931,,finanCe,0.5,0.5,,182,8.0,1.0
742058,23.0,finanCe,0.57,0.5,,999,,1.0
342342,,Sales,0.15,0.24,7.0,999,,
925319,50.0,HR,0.78,0.48,2.0,999,,0.0
168476,,Sales,0.34,0.58,,999,2.0,
762447,,Hr,0.53,0.04,,260,,1.0
606234,55.0,Finance,0.72,0.06,7.0,206,9.0,
320037,,IT,0.62,0.05,7.0,999,,1.0
528336,33.0,finanCe,0.48,0.31,6.0,999,,1.0
937665,32.0,,0.33,0.78,4.0,999,,1.0
248260,30.0,,0.02,0.62,6.0,999,,
938234,26.0,Hr,0.49,0.61,,178,,
606149,,Finance,0.86,0.69,3.0,186,,0.0
476362,,Sales,0.28,0.73,,999,,0.0
476716,,Operations,0.79,0.17,,999,,1.0
867155,50.0,IT,0.19,0.49,,999,7.0,
127890,,Finance,0.37,0.58,,999,10.0,1.0
444830,58.0,Finance,0.65,0.27,6.0,301,1.0,
972241,,IT,0.72,0.97,,999,7.0,0.0
466776,30.0,Operations,0.1,0.24,4.0,999,,1.0
214695,,HR,0.12,0.18,,200,,1.0
600529,,Sales,1.0,0.77,,163,3.0,0.0
503557,,IT,0.7,0.23,,254,3.0,0.0
416447,,Sales,0.63,0.02,4.0,304,,1.0
515037,22.0,Hr,0.46,0.99,,999,,0.0
967017,49.0,Finance,0.63,0.29,,234,4.0,
772824,50.0,Sales,0.97,0.84,6.0,297,,1.0
859667,,Hr,0.4,0.11,,999,2.0,0.0
183702,54.0,,0.85,0.84,,999,,
990781,53.0,HR,0.15,0.61,,999,3.0,0.0
580459,,HR,0.92,0.27,3.0,999,,0.0
704249,,Operations,0.6,0.45,4.0,166,,1.0
463096,26.0,Sales,0.31,0.52,,999,4.0,0.0
334079,,IT,0.82,0.46,6.0,308,9.0,
885030,,IT,0.46,0.43,,214,,
767563,23.0,HR,0.61,0.67,4.0,260,,
611127,44.0,HR,0.12,0.56,,244,5.0,0.0
186318,,Operations,0.93,0.52,,309,6.0,
647370,24.0,Hr,0.24,0.27,5.0,257,2.0,0.0
959259,36.0,Operations,0.99,0.92,,999,6.0,
714187,,Hr,0.38,0.68,,999,,
826313,51.0,finanCe,0.71,0.3,3.0,243,1.0,
281517,,Sales,0.89,0.83,,211,9.0,
456193,42.0,Sales,0.82,0.41,,261,7.0,
329401,,IT,0.15,0.54,6.0,297,,1.0
455493,,Operations,0.45,0.2,,259,3.0,1.0
547717,,,0.95,0.18,3.0,216,6.0,1.0
471650,25.0,,0.32,0.81,,999,6.0,
507979,32.0,IT,0.45,0.6,,999,2.0,1.0
137411,,,0.83,0.63,5.0,266,7.0,1.0
973382,49.0,Sales,0.81,0.97,,999,8.0,0.0
331204,,,0.74,0.4,,999,,
838875,53.0,,0.32,0.5,6.0,999,,0.0
584733,50.0,IT,0.37,0.52,6.0,264,9.0,0.0
80106,56.0,finanCe,0.44,0.77,6.0,999,,1.0
26274,51.0,finanCe,0.79,0.53,,181,,1.0
688881,,Hr,0.01,0.02,5.0,180,1.0,0.0
214945,23.0,Finance,0.69,0.42,,260,6.0,0.0
547290,24.0,finanCe,0.29,0.21,6.0,999,,0.0
805356,32.0,Sales,0.06,0.06,,999,,1.0
302784,42.0,finanCe,0.85,0.31,,303,6.0,0.0
957553,,Hr,0.75,0.28,,236,4.0,
711430,32.0,Operations,0.33,0.35,7.0,256,5.0,
720884,50.0,,0.64,0.05,,268,7.0,0.0
338984,,Hr,0.14,0.92,,198,7.0,
733426,,finanCe,0.34,0.92,,166,6.0,
667032,28.0,,0.99,0.17,5.0,177,8.0,
771511,27.0,finanCe,0.46,0.25,5.0,999,2.0,1.0
65391,,Hr,0.83,0.91,7.0,306,9.0,
136040,,Hr,0.17,0.67,2.0,184,,1.0
659543,,,0.02,0.67,,274,,1.0
130063,,IT,0.9,0.73,,999,7.0,
213008,,Finance,0.87,0.29,7.0,999,,
490664,32.0,Finance,0.1,0.56,,168,,
202327,,Operations,0.21,0.21,5.0,212,10.0,
537911,50.0,Sales,0.57,0.51,,175,,
148387,,finanCe,0.09,0.96,,999,,
117107,46.0,Finance,0.37,0.31,2.0,273,8.0,1.0
418119,,Hr,0.17,0.24,3.0,999,,1.0
41797,,Finance,0.93,0.31,,999,1.0,
2672,28.0,Sales,0.73,0.1,2.0,999,,0.0
969348,,Operations,0.34,0.22,,999,4.0,
700861,43.0,IT,0.09,0.16,,304,,
710300,,Hr,0.27,0.87,,282,,0.0
757626,46.0,,0.86,0.41,5.0,999,,1.0
177527,30.0,Sales,0.44,0.6,7.0,999,,1.0
368341,,Hr,0.96,0.29,7.0,202,,
331365,,IT,0.66,0.19,,999,10.0,0.0
881919,34.0,Sales,0.07,0.04,2.0,999,,1.0
