EmployeeID,Age,Department,SatisfactionScore,LastEvaluationScore,NumProjects,AvgMonthlyHours,YearsAtCompany,Attrition,HoursPerProject,PerformanceRatio,TenureCategory,High_Risk_Employee
667671,41,finance,0.44,0.81,5,181,19,0,36.2,0.54,Experienced,0
196820,32,hr,0.93,0.59,6,238,7,0,39.67,1.57,Experienced,0
567705,41,it,0.62,0.84,7,222,16,1,31.71,0.74,Experienced,0
969596,41,operations,0.55,0.69,8,230,16,1,28.75,0.8,Experienced,0
679046,41,finance,0.04,0.65,7,194,15,1,27.71,0.07,Experienced,0
641919,41,it,0.49,0.78,7,240,19,1,34.29,0.63,Mid,0
787791,41,finance,0.68,0.88,7,203,15,0,29,0.77,Experienced,0
265124,41,unknown,0.44,0.9,6,215,13,0,35.83,0.49,Experienced,0
623729,42,unknown,0.09,0.53,5,216,16,1,43.2,0.16,Experienced,1
170955,41,unknown,0.77,0.53,6,178,19,1,29.67,1.46,Experienced,0
587377,26,it,0.91,0.71,8,240,4,0,30,1.28,Experienced,0
186365,41,finance,0.79,0.66,5,155,13,0,31,1.2,Experienced,0
389233,24,finance,0.44,0.56,7,217,2,1,31,0.79,Experienced,0
733453,49,sales,0.88,0.85,6,168,20,0,28,1.04,Mid,0
192928,41,finance,0.28,0.9,6,218,19,1,36.33,0.31,Experienced,1
43811,46,finance,0.77,0.9,4,159,21,0,39.75,0.85,Experienced,0
679635,37,it,1,0.63,6,171,8,0,28.5,1.59,Experienced,0
261903,41,hr,0.33,0.54,8,212,12,1,26.5,0.62,Experienced,1
782185,41,operations,0.49,0.64,5,179,13,0,35.8,0.78,Experienced,0
326984,50,operations,0.6,0.64,6,166,26,0,27.67,0.94,Experienced,0
947635,29,hr,0.46,0.52,8,217,5,1,27.12,0.89,Mid,0
355406,41,finance,0.96,0.76,6,189,19,0,31.5,1.27,Mid,0
760690,41,sales,0.51,0.78,6,207,12,0,34.5,0.65,Experienced,0
673945,41,sales,0.83,0.49,6,236,17,0,39.33,1.71,Experienced,0
233420,60,hr,0.52,0.77,8,201,36,0,25.12,0.67,Experienced,0
975515,60,operations,0.56,0.75,7,216,38,0,30.86,0.74,Experienced,0
662048,41,finance,1,0.8,4,158,17,0,39.5,1.26,Experienced,0
774802,41,finance,0.87,0.88,3,159,15,0,53,0.98,Experienced,0
284643,41,operations,0.33,0.92,7,214,18,0,30.57,0.36,Experienced,1
820727,41,finance,0.48,1,5,219,13,0,43.8,0.48,Experienced,0
177165,41,hr,0.91,0.76,5,172,18,0,34.4,1.2,Experienced,0
665916,26,sales,0.6,0.75,8,250,4,1,31.25,0.81,Experienced,0
835103,41,sales,0.28,0.51,5,202,16,0,40.4,0.55,Experienced,1
797455,50,it,0.89,0.81,4,139,22,1,34.75,1.1,Experienced,0
538374,41,finance,0.89,0.67,5,188,19,0,37.6,1.33,Experienced,0
7277,41,hr,0.86,0.96,4,128,12,0,32,0.9,Experienced,0
109949,41,unknown,0.45,0.48,8,221,16,1,27.62,0.94,Experienced,0
177399,56,unknown,0.57,0.83,5,181,33,0,36.2,0.69,Experienced,0
521798,43,hr,0.2,1,7,192,21,1,27.43,0.2,Experienced,0
254394,41,hr,0.91,1,7,190,12,1,27.14,0.91,Experienced,0
216404,60,finance,0.54,0.98,6,191,32,0,31.83,0.55,Experienced,0
840383,41,hr,0.81,1,5,156,13,0,31.2,0.81,New,0
82108,41,finance,0.9,0.84,4,173,14,0,43.25,1.07,Experienced,0
606536,40,finance,0.7,0.48,5,148,11,0,29.6,1.44,Mid,0
36673,41,hr,0.3,0.44,5,177,15,1,35.4,0.69,Experienced,0
619012,41,operations,0.7,0.64,7,191,17,0,27.29,1.09,Experienced,0
106436,41,finance,0.2,0.59,8,225,16,1,28.12,0.34,Experienced,1
490513,38,finance,0.33,0.4,8,234,9,1,29.25,0.82,New,1
60743,40,hr,0.29,0.92,8,222,13,1,27.75,0.31,Mid,1
987659,41,finance,0.66,0.83,7,222,17,1,31.71,0.79,Experienced,0
687673,48,finance,0.69,0.96,6,206,24,0,34.33,0.72,Experienced,0
904059,41,operations,0.52,0.87,8,220,19,0,27.5,0.6,Experienced,0
134766,32,hr,0.58,0.66,4,159,8,0,39.75,0.87,Mid,0
274181,41,hr,0.58,0.83,6,184,15,0,30.67,0.71,Experienced,0
441926,41,finance,0.77,0.84,6,178,13,0,29.67,0.92,Mid,0
190184,36,finance,1,0.82,5,176,9,0,35.2,1.22,Experienced,0
512913,41,finance,1,0.89,4,158,17,0,39.5,1.12,Experienced,0
301653,41,it,0.23,0.4,5,199,19,1,39.8,0.58,New,0
957266,55,operations,0.83,0.43,8,226,29,1,28.25,1.93,New,0
818678,38,unknown,0.95,0.62,3,138,15,0,46,1.54,Mid,0
936398,41,finance,0.36,0.75,2,171,13,0,85.5,0.48,Experienced,0
380695,41,hr,0.98,0.83,7,188,13,0,26.86,1.18,Experienced,0
551046,41,operations,0.9,1,6,180,14,0,30,0.9,New,0
541204,41,hr,0.43,0.5,8,258,13,1,32.25,0.85,Experienced,0
449242,48,finance,0.93,0.8,4,162,24,0,40.5,1.15,Mid,0
792674,41,unknown,0.39,0.66,5,157,19,0,31.4,0.6,Experienced,0
978063,41,sales,0.42,0.56,6,177,13,1,29.5,0.75,Experienced,0
419368,41,hr,0.57,0.73,3,133,13,0,44.33,0.78,Experienced,0
647029,41,unknown,0.77,0.79,3,138,18,0,46,0.98,Experienced,0
453969,22,hr,0.69,0.67,6,184,0,0,30.67,1.04,Experienced,0
182979,41,hr,0.71,0.56,5,180,16,0,36,1.26,Experienced,0
956565,48,hr,0.62,0.73,7,228,22,1,32.57,0.85,Experienced,0
803961,25,unknown,1,1,6,151,1,0,25.17,1,Experienced,0
2505,33,operations,0.75,0.66,8,241,5,0,30.12,1.15,Experienced,0
309144,56,finance,0.82,0.64,5,184,27,0,36.8,1.28,Mid,0
64730,41,finance,0.92,0.91,3,143,13,0,47.67,1.01,New,0
187699,50,sales,0.56,0.57,8,204,28,1,25.5,0.97,Experienced,0
525149,42,unknown,0.28,0.47,3,163,17,0,54.33,0.61,New,0
19889,41,hr,0.88,1,4,175,15,0,43.75,0.88,Experienced,0
806215,22,finance,0.71,0.6,3,154,0,0,51.33,1.19,New,0
342819,55,unknown,0.27,0.55,6,182,30,1,30.33,0.49,Experienced,0
622369,41,finance,0.41,0.94,4,137,14,1,34.25,0.44,Experienced,0
136379,41,sales,0.62,0.94,7,182,15,0,26,0.66,Experienced,0
49505,39,hr,0.17,0.7,5,145,11,1,29,0.25,Experienced,0
219981,41,finance,0.37,0.76,6,196,13,0,32.67,0.49,Experienced,0
802379,38,operations,0.75,0.86,8,203,12,0,25.38,0.88,Experienced,0
564438,46,operations,0.55,0.59,5,192,18,0,38.4,0.93,Experienced,0
511108,41,unknown,0.94,0.87,4,129,17,0,32.25,1.07,New,0
947105,60,sales,0.65,0.95,5,184,34,0,36.8,0.68,Experienced,0
643196,45,unknown,0.64,0.69,6,200,20,0,33.33,0.93,New,0
939225,25,operations,0.58,0.35,5,171,0,0,34.2,1.68,Experienced,0
121658,41,hr,0.76,0.57,6,229,12,1,38.17,1.32,Experienced,0
413495,46,unknown,0.5,0.61,6,182,18,1,30.33,0.82,Mid,0
926520,41,hr,0.55,0.78,5,189,17,1,37.8,0.71,Mid,0
816514,41,sales,0.9,0.72,4,140,17,0,35,1.24,Experienced,0
253678,41,finance,1,0.78,7,184,14,0,26.29,1.28,Experienced,0
809216,55,finance,0.38,0.66,8,219,30,1,27.38,0.58,Experienced,1
702418,38,unknown,0.48,0.6,7,173,15,0,24.71,0.81,New,0
578595,41,operations,0.7,0.84,6,194,18,0,32.33,0.83,New,0
302822,24,unknown,0.67,0.71,4,143,0,0,35.75,0.94,New,0
730682,41,finance,0.61,0.74,6,213,14,0,35.5,0.82,Experienced,0
337669,54,hr,0.36,0.62,7,203,32,1,29,0.58,Experienced,1
73882,33,finance,1,0.69,3,143,7,0,47.67,1.45,Experienced,0
48011,50,hr,1,0.86,7,214,23,0,30.57,1.16,Mid,0
640877,41,hr,0.99,1,3,128,16,0,42.67,0.99,Experienced,0
620643,60,unknown,0.83,0.78,3,133,35,0,44.33,1.06,Experienced,0
685976,41,finance,1,0.76,5,153,16,0,30.6,1.32,Experienced,0
288776,41,finance,0.7,0.67,6,158,16,0,26.33,1.05,Experienced,0
802156,34,hr,0.99,0.74,8,200,9,1,25,1.34,Experienced,0
714444,41,it,0.58,0.44,3,120,14,0,40,1.32,Experienced,0
372846,41,finance,0.91,0.58,5,149,14,0,29.8,1.57,Experienced,0
272473,41,hr,0.9,0.89,5,178,17,0,35.6,1.01,Experienced,0
587447,41,sales,0.82,0.57,7,202,12,0,28.86,1.43,Experienced,0
189672,41,finance,0.75,0.85,8,191,18,0,23.88,0.89,Experienced,0
528288,41,it,0.83,0.72,3,170,13,1,56.67,1.15,Experienced,0
320056,41,finance,1,0.81,6,176,16,0,29.33,1.23,Experienced,0
610667,41,hr,0.83,0.84,3,141,19,0,47,1,Mid,0
124517,41,unknown,0.55,0.73,4,187,13,0,46.75,0.75,Experienced,0
396493,37,it,0.63,0.79,3,133,10,0,44.33,0.8,Mid,0
55087,41,it,0.83,0.52,5,151,19,0,30.2,1.6,Experienced,0
538369,54,operations,0.74,0.85,5,130,32,0,26,0.87,Mid,0
716413,41,sales,0.57,0.71,8,212,19,0,26.5,0.8,Experienced,0
372675,41,sales,0.32,0.99,4,153,17,1,38.25,0.33,Mid,0
876368,41,operations,0.62,0.8,6,210,14,0,35,0.77,Experienced,0
675128,25,hr,0.37,0.79,7,228,3,1,32.57,0.47,Experienced,1
644348,41,sales,0.85,0.85,7,231,16,1,33,1,Experienced,0
747676,46,operations,0.88,0.74,8,231,20,1,28.88,1.19,Experienced,0
46623,22,it,0.31,0.63,8,198,0,0,24.75,0.48,Mid,0
900753,41,unknown,0.58,0.81,8,218,17,0,27.25,0.72,Mid,0
719660,41,hr,0.97,0.76,6,157,13,0,26.17,1.27,New,0
710357,40,unknown,0.97,0.82,2,136,13,0,68,1.18,Experienced,0
923722,45,hr,1,0.52,3,165,16,0,55,1.91,Experienced,0
759142,45,hr,0.65,0.58,5,200,21,0,40,1.11,New,0
530997,51,hr,0.61,0.29,4,171,29,0,42.75,2.12,Experienced,0
756544,41,unknown,0.74,0.39,6,182,14,0,30.33,1.89,Experienced,0
44429,41,sales,0.29,0.62,8,226,15,1,28.25,0.46,Experienced,1
182780,49,it,0.73,0.38,8,233,27,1,29.12,1.94,Experienced,0
753748,40,unknown,0.31,0.83,8,256,16,1,32,0.38,Experienced,1
4245,41,hr,0.49,0.69,4,130,18,0,32.5,0.71,Experienced,0
742602,27,finance,0.92,0.73,7,180,2,0,25.71,1.26,Experienced,0
92404,41,operations,1,0.85,8,194,12,0,24.25,1.18,New,0
590863,48,finance,0.87,0.79,3,120,20,0,40,1.11,Experienced,0
469322,37,hr,0.59,0.74,3,142,13,0,47.33,0.8,Mid,0
108172,37,finance,0.88,0.99,3,130,10,1,43.33,0.89,Experienced,0
428840,41,hr,0.63,1,4,168,12,0,42,0.63,Experienced,0
977843,54,unknown,0.87,0.48,3,146,25,0,48.67,1.82,Experienced,0
687727,41,finance,0.12,0.77,8,202,12,1,25.25,0.15,New,1
241862,41,hr,0.39,0.66,4,120,19,1,30,0.59,Experienced,0
552440,52,it,0.83,0.78,8,208,27,0,26,1.06,Mid,0
354840,41,unknown,0.15,0.81,8,221,19,1,27.62,0.19,Experienced,1
752548,41,hr,0.34,0.9,6,210,14,1,35,0.38,Experienced,1
706898,41,finance,0.73,0.55,3,154,19,0,51.33,1.32,Experienced,0
816996,41,sales,0.64,0.37,6,202,18,0,33.67,1.73,Mid,0
43453,41,finance,0.69,0.82,4,184,16,0,46,0.84,Mid,0
60229,58,hr,0.41,0.78,8,221,33,1,27.62,0.52,Experienced,0
451072,58,it,0.71,0.64,7,178,31,0,25.43,1.12,Experienced,0
641179,41,hr,0.58,1,8,229,13,1,28.62,0.58,Mid,0
723307,41,hr,0.2,0.34,7,222,18,1,31.71,0.6,Experienced,1
815000,46,hr,0.65,0.78,7,200,22,0,28.57,0.83,Experienced,0
361025,28,finance,0.48,0.89,8,213,6,1,26.62,0.54,Experienced,0
121078,41,hr,0.83,0.42,5,172,15,0,34.4,1.97,Mid,0
544360,41,unknown,0.56,0.42,5,175,19,0,35,1.35,Mid,0
773434,41,unknown,0.69,0.94,8,236,12,0,29.5,0.74,Experienced,0
98628,31,finance,0.97,0.97,5,170,9,0,34,1,Experienced,0
899434,41,hr,0.79,0.83,8,250,17,1,31.25,0.95,Mid,0
907329,41,operations,0.72,0.59,6,213,19,1,35.5,1.22,New,0
463196,40,unknown,0.58,1,8,255,17,1,31.88,0.58,Experienced,0
759885,47,unknown,0.91,0.66,7,221,24,0,31.57,1.37,Experienced,0
368965,41,finance,0.47,0.8,8,188,16,0,23.5,0.58,Experienced,0
319888,41,finance,0.84,0.61,7,201,14,0,28.71,1.39,Experienced,0
332886,55,finance,0.87,1,6,204,27,0,34,0.87,Experienced,0
487681,41,sales,0.74,0.79,8,230,15,1,28.75,0.93,Experienced,0
589704,23,finance,0.51,0.04,5,175,0,0,35,14.16,Mid,0
649801,54,hr,0.42,0.84,4,144,32,1,36,0.5,New,0
51950,41,hr,0.75,0.83,6,213,19,0,35.5,0.91,Experienced,0
554729,41,hr,0.51,0.76,8,204,17,1,25.5,0.67,Experienced,0
201037,27,operations,0.79,0.89,7,229,0,1,32.71,0.88,Mid,0
699770,48,hr,1,0.79,4,139,25,0,34.75,1.27,Experienced,0
932933,41,it,0.31,0.54,3,155,15,1,51.67,0.57,Experienced,0
571494,52,sales,0.57,0.24,5,170,27,0,34,2.34,Experienced,0
953426,58,finance,0.7,0.31,8,203,35,1,25.38,2.26,Experienced,0
136402,41,unknown,0.47,0.69,8,230,12,1,28.75,0.68,Experienced,0
584088,41,unknown,0.57,0.64,5,165,14,0,33,0.89,Experienced,0
497036,41,sales,0.67,0.58,6,176,12,0,29.33,1.17,Experienced,0
674111,41,hr,0.48,0.65,5,178,13,0,35.6,0.74,Mid,0
796264,41,hr,0.8,0.66,2,120,16,0,60,1.2,Experienced,0
370284,41,operations,0.89,0.49,6,150,13,0,25,1.82,Experienced,0
7047,41,operations,0.8,0.7,7,231,17,1,33,1.15,Experienced,0
252753,41,operations,0.23,0.62,7,197,12,1,28.14,0.38,Experienced,0
249242,41,it,0.83,0.66,5,167,17,0,33.4,1.25,Experienced,0
708972,41,operations,0.91,0.81,4,147,19,0,36.75,1.12,Experienced,0
571139,41,finance,0.32,0.85,6,177,13,1,29.5,0.37,Mid,0
684425,41,finance,0.32,0.69,8,226,14,1,28.25,0.47,Experienced,1
549410,49,finance,0.93,0.8,2,136,20,0,68,1.16,Experienced,0
971343,23,hr,0.18,0.66,8,222,0,1,27.75,0.28,Experienced,1
119789,27,finance,0.75,0.7,5,181,2,0,36.2,1.08,Experienced,0
7843,41,hr,0.32,0.53,8,228,18,1,28.5,0.6,Experienced,1
507992,41,it,0.26,0.44,4,158,14,0,39.5,0.59,Experienced,0
83951,45,hr,0.9,0.62,3,144,18,0,48,1.47,Experienced,0
284934,54,hr,0.58,0.41,6,191,30,0,31.83,1.44,Experienced,0
467198,41,it,0.89,1,7,194,13,0,27.71,0.89,Mid,0
161133,25,it,0.57,1,2,120,0,0,60,0.57,Mid,0
280963,30,finance,0.61,1,6,192,1,0,32,0.61,Experienced,0
179328,60,hr,0.88,0.9,6,156,38,0,26,0.98,Experienced,0
262229,25,it,0.81,0.89,4,162,3,0,40.5,0.91,Mid,0
415579,25,finance,0.71,0.8,6,202,0,0,33.67,0.89,Experienced,0
888536,28,finance,0.65,0.66,5,184,4,0,36.8,0.99,Experienced,0
58299,32,hr,1,0.89,4,165,5,0,41.25,1.13,Experienced,0
137840,44,it,0.99,0.75,5,172,15,0,34.4,1.33,New,0
972757,41,finance,0.59,0.67,6,203,15,1,33.83,0.87,Experienced,0
441567,54,operations,0.55,0.47,8,216,30,1,27,1.17,Mid,0
846873,41,operations,0.66,0.85,7,181,16,0,25.86,0.77,Experienced,0
332508,41,finance,0.88,0.93,8,224,16,0,28,0.95,Experienced,0
920855,23,hr,0.65,0.94,6,152,0,0,25.33,0.7,Experienced,0
528310,41,unknown,0.65,0.48,6,173,16,0,28.83,1.35,Experienced,0
592350,41,hr,0.39,0.53,8,231,17,1,28.88,0.74,Experienced,1
79346,41,unknown,0.55,0.77,6,201,18,0,33.5,0.72,Experienced,0
100376,39,it,0.69,1,8,208,15,0,26,0.69,Experienced,0
817370,44,hr,0.72,0.58,4,134,16,0,33.5,1.24,Experienced,0
623450,42,hr,0.9,0.73,7,218,18,0,31.14,1.24,New,0
458533,41,hr,0.42,0.37,5,175,16,0,35,1.12,Experienced,0
829302,41,hr,0.7,0.8,4,135,12,0,33.75,0.88,Experienced,0
30804,41,finance,0.84,0.73,5,197,13,0,39.4,1.15,Mid,0
50601,41,hr,0.7,0.72,6,195,16,1,32.5,0.97,Experienced,0
781822,41,it,0.83,0.4,3,146,19,0,48.67,2.07,Experienced,0
687814,41,unknown,0.98,0.85,7,200,19,0,28.57,1.15,Mid,0
413967,41,finance,0.46,0.69,8,221,12,1,27.62,0.67,Experienced,0
34785,41,operations,1,0.71,3,139,12,0,46.33,1.4,Mid,0
623385,41,finance,0.52,0.73,4,180,13,0,45,0.71,Experienced,0
469280,25,operations,0.97,0.68,4,174,2,0,43.5,1.43,Experienced,0
623190,41,unknown,0.79,0.75,7,222,12,1,31.71,1.05,Mid,0
435333,56,unknown,0.61,0.69,6,217,34,0,36.17,0.89,Experienced,0
391906,41,hr,0.5,0.57,6,223,17,1,37.17,0.88,Experienced,0
136902,55,hr,0.66,0.66,7,229,30,1,32.71,1,Experienced,0
5498,41,sales,0.02,0.5,8,214,19,1,26.75,0.03,Mid,1
522931,30,it,0.47,0.56,7,236,8,1,33.71,0.84,Experienced,0
493814,41,hr,0.61,0.85,6,181,18,0,30.17,0.72,Experienced,0
